step,t,uav_x,uav_y,uav_z,uav_vx,uav_vy,uav_vz,dyn_x,dyn_y,dyn_z,stat_x,stat_y,stat_z,d_min,rpz,rpf,target_x,target_y,target_z
64,6.400000,-0.950160,-1.389068,1.327606,0.170556,0.167918,0.072209,-0.860000,0.732000,2.500000,3.500000,-1.000000,2.000000,2.425194,1.000000,1.500000,3.000000,2.500000,3.000000
65,6.500000,-0.933607,-1.390045,1.327185,0.165537,-0.009776,-0.004204,-0.850000,0.720000,2.500000,3.500000,-1.000000,2.000000,2.415528,1.000000,1.500000,3.000000,2.500000,3.000000
66,6.600000,-0.916592,-1.373219,1.334421,0.170150,0.168266,0.072358,-0.840000,0.708000,2.500000,3.500000,-1.000000,2.000000,2.386611,1.000000,1.500000,3.000000,2.500000,3.000000
67,6.700000,-0.902315,-1.370061,1.337839,0.142763,0.031580,0.034175,-0.830000,0.696000,2.500000,3.500000,-1.000000,2.000000,2.371594,1.000000,1.500000,3.000000,2.500000,3.000000
68,6.800000,-0.885324,-1.353210,1.345076,0.169908,0.168504,0.072371,-0.820000,0.684000,2.500000,3.500000,-1.000000,2.000000,2.342721,1.000000,1.500000,3.000000,2.500000,3.000000
69,6.900000,-0.871065,-1.350021,1.348498,0.142596,0.031894,0.034226,-0.810000,0.672000,2.500000,3.500000,-1.000000,2.000000,2.327714,1.000000,1.500000,3.000000,2.500000,3.000000
70,7.000000,-0.854098,-1.333147,1.355737,0.169665,0.168743,0.072384,-0.800000,0.660000,2.500000,3.500000,-1.000000,2.000000,2.298891,1.000000,1.500000,3.000000,2.500000,3.000000
71,7.100000,-0.839386,-1.330732,1.358356,0.147119,0.024149,0.026194,-0.790000,0.648000,2.500000,3.500000,-1.000000,2.000000,2.284988,1.000000,1.500000,3.000000,2.500000,3.000000
72,7.200000,-0.822448,-1.313831,1.365599,0.169387,0.169005,0.072426,-0.780000,0.636000,2.500000,3.500000,-1.000000,2.000000,2.256216,1.000000,1.500000,3.000000,2.500000,3.000000
73,7.300000,-0.807761,-1.311356,1.368232,0.146869,0.024758,0.026335,-0.770000,0.624000,2.500000,3.500000,-1.000000,2.000000,2.242304,1.000000,1.500000,3.000000,2.500000,3.000000
74,7.400000,-0.790850,-1.294429,1.375479,0.169107,0.169267,0.072469,-0.760000,0.612000,2.500000,3.500000,-1.000000,2.000000,2.213588,1.000000,1.500000,3.000000,2.500000,3.000000
75,7.500000,-0.776611,-1.291184,1.378915,0.142392,0.032446,0.034362,-0.750000,0.600000,2.500000,3.500000,-1.000000,2.000000,2.198663,1.000000,1.500000,3.000000,2.500000,3.000000
76,7.600000,-0.759725,-1.274233,1.386164,0.168858,0.169510,0.072481,-0.740000,0.588000,2.500000,3.500000,-1.000000,2.000000,2.170008,1.000000,1.500000,3.000000,2.500000,3.000000
77,7.700000,-0.745503,-1.270956,1.389605,0.142223,0.032776,0.034415,-0.730000,0.576000,2.500000,3.500000,-1.000000,2.000000,2.155102,1.000000,1.500000,3.000000,2.500000,3.000000
78,7.800000,-0.728642,-1.253981,1.396854,0.168608,0.169753,0.072494,-0.720000,0.564000,2.500000,3.500000,-1.000000,2.000000,2.126513,1.000000,1.500000,3.000000,2.500000,3.000000
79,7.900000,-0.713934,-1.251430,1.399507,0.147077,0.025502,0.026527,-0.710000,0.552000,2.500000,3.500000,-1.000000,2.000000,2.112691,1.000000,1.500000,3.000000,2.500000,3.000000
80,8.000000,-0.697102,-1.234428,1.406761,0.168320,0.170020,0.072536,-0.700000,0.540000,2.500000,3.500000,-1.000000,2.000000,2.084173,1.000000,1.500000,3.000000,2.500000,3.000000
81,8.100000,-0.682420,-1.231813,1.409428,0.146827,0.026154,0.026674,-0.690000,0.528000,2.500000,3.500000,-1.000000,2.000000,2.070349,1.000000,1.500000,3.000000,2.500000,3.000000
82,8.200000,-0.665616,-1.214784,1.416686,0.168032,0.170286,0.072579,-0.680000,0.516000,2.500000,3.500000,-1.000000,2.000000,2.041909,1.000000,1.500000,3.000000,2.500000,3.000000
83,8.300000,-0.650959,-1.212103,1.419368,0.146578,0.026810,0.026822,-0.670000,0.504000,2.500000,3.500000,-1.000000,2.000000,2.028087,1.000000,1.500000,3.000000,2.500000,3.000000
